,confidence,consensus,id,net spoke 5% similarity,net spoke 95% similarity,net spoke PC1,spoke 5% similarity,spoke 95% similarity,spoke PC1,survey 5% similarity,survey 95% similarity,survey PC1,t,network
GT_BhccgcKQe7bpH7pWi_1,68.15789473684211,63.0,BhccgcKQe7bpH7pWi,-0.11773822824143326,0.12876433475263682,0.10426661956858098,-0.36486866160108183,0.5717048364178003,0.2946105501939725,-0.3586734710513967,0.6269354328506079,0.36334861936362567,1,0
GT_KC4EWWmEew2eiQFcQ_0,49.3,57.65,KC4EWWmEew2eiQFcQ,-0.09952138313223297,0.3190245491344884,0.1568497270271276,-0.2571428571428572,0.8674544338024659,0.3340662690428809,-0.43661991540584943,0.7005700755231155,0.4165535157337021,0,1
GT_KC4EWWmEew2eiQFcQ_1,61.0,57.45,KC4EWWmEew2eiQFcQ,-0.09070318975414174,0.34421199994936513,0.20955003961694094,-0.28317527269340115,0.885614885540095,0.40352088670160663,-0.46270269102050143,0.8366669936554982,0.4742472253494339,1,1
GT_nyj44mrAdH9BGGSnK_0,58.3,55.25,nyj44mrAdH9BGGSnK,-0.08029551995687481,0.08622202423246539,0.0034219400251081222,-0.020826488922056442,0.75955452531275,0.1944236785670807,-0.30412932480608373,0.7324657404522206,0.3048989362705098,0,0
GT_nyj44mrAdH9BGGSnK_1,63.65,50.55,nyj44mrAdH9BGGSnK,0.007331818770324905,0.11001471415563313,0.06695342470210228,-0.13245323570650439,0.6708203932499368,0.24995573612243585,-0.341381993294595,0.7341876945527369,0.3444260647920675,1,0
GT_Zae6heWeMutojmXft_0,54.8421052631579,55.421052631578945,Zae6heWeMutojmXft,-0.09234902945995077,0.24416488378778234,0.15045117411546,-0.36341380468368684,0.7085767648225648,0.3304479671452945,-0.5864213894569761,0.5121683033752845,0.2630298945666241,0,1
GT_Zae6heWeMutojmXft_1,57.10526315789474,53.73684210526316,Zae6heWeMutojmXft,-0.17646588363957955,0.29676140795770706,0.2599417556683912,-0.4629100498862758,0.7250625755222431,0.43698984223101894,-0.5014973088307819,0.67176903314953,0.33550620967626354,1,1
GT_TCrgRvccdKGHeDvdW_0,55.9,54.75,TCrgRvccdKGHeDvdW,-0.08583360918955325,0.04451783843856656,0.0685181769254207,-0.2487593667677473,0.5773024168517511,0.26252912380995214,-0.39778907316644824,0.7497238751784885,0.26865126436720743,0,0
GT_TCrgRvccdKGHeDvdW_1,59.473684210526315,55.05263157894737,TCrgRvccdKGHeDvdW,-0.15024960859249967,0.14515026893622662,0.11473838448069548,-0.16028489182124747,0.7711078316961164,0.3580376350894242,-0.4516239422835208,0.7267588959236693,0.29783685073657135,1,0
GT_BfyZ5JjRKWhdjS7qy_0,53.2,59.9,BfyZ5JjRKWhdjS7qy,-0.0623911965390163,0.17665240777248342,0.14409201896198015,-0.17622646147108983,0.8563007870678426,0.3608215142029366,-0.5602794313771176,0.732766235128449,0.4245158751921755,0,1
GT_BfyZ5JjRKWhdjS7qy_1,59.05,60.2,BfyZ5JjRKWhdjS7qy,-0.13365581901500284,0.211498245138913,0.17364899828261066,-0.19194918642723505,0.8220477221827082,0.36720409067473386,-0.5486363837398798,0.7885947924248907,0.42423243841045555,1,1
GT_hE8iDmuY7wvbgTTRB_0,51.578947368421055,53.21052631578947,hE8iDmuY7wvbgTTRB,-0.04601217017207653,0.09532968144612386,0.032993421969485515,-0.008718487394958058,0.7426755358613555,0.25279836977332754,-0.22945180748899335,0.7085985182231567,0.26471517429938096,0,0
GT_hE8iDmuY7wvbgTTRB_1,56.578947368421055,51.21052631578947,hE8iDmuY7wvbgTTRB,-0.027756261228740503,0.12237641926873633,0.08514781983401223,-0.11511989963207096,0.6900655593423547,0.3084259686333488,-0.5262002614477417,0.700819506852538,0.3565234836547551,1,0
GT_dW6HD8ba9gXHqoWL8_0,53.89473684210526,66.84210526315789,dW6HD8ba9gXHqoWL8,-0.11197453658709722,0.3262817681129744,0.233035656401257,-0.34422695231371764,0.842927230423525,0.4282442152125432,-0.6696009201532385,0.7403618117343593,0.44314808768836533,0,1
GT_dW6HD8ba9gXHqoWL8_1,55.05263157894737,55.05263157894737,dW6HD8ba9gXHqoWL8,-0.09667147462260417,0.24406215445918733,0.20087402585148312,-0.3595432238024527,0.7250625755222431,0.38255197276586683,-0.4983300638452548,0.7572699738328481,0.39132586580953876,1,1
GT_Zxhtd5NFdLyNExLtN_0,64.57894736842105,58.89473684210526,Zxhtd5NFdLyNExLtN,-0.16766342922038607,0.12735117162348697,0.0926481060225482,-0.27195398935006776,0.6954455586137533,0.2975996474950254,-0.4319493904902568,0.6773478677218879,0.25293829763195824,0,0
GT_Zxhtd5NFdLyNExLtN_1,51.75,56.15,Zxhtd5NFdLyNExLtN,-0.03899673932261176,0.05418282744039706,0.04539427146221675,-0.100170514059468,0.6376838305062537,0.23650533287317538,-0.2951488507072811,0.6836105524404918,0.25096009993969903,1,0
GT_NNqcb487RHAbLvNso_0,59.21052631578947,57.0,NNqcb487RHAbLvNso,-0.17062265018367725,0.2758432370145706,0.17195091105274032,-0.38160837869103614,0.7708333333333331,0.3446724538339961,-0.46852991437921654,0.7311698066097106,0.32746106605647246,0,1
GT_NNqcb487RHAbLvNso_1,58.0,56.10526315789474,NNqcb487RHAbLvNso,-0.15711825714164024,0.35349419671992094,0.24686344836095964,-0.4276179870598791,0.7904761904761906,0.4271073153775962,-0.6189729290726389,0.6860165550833579,0.3666199453112871,1,1
GT_BfWPcLgXY7dKcAsdX_0,55.94736842105263,61.05263157894737,BfWPcLgXY7dKcAsdX,-0.0698605120518334,0.09412343609350926,0.03495281851993676,-0.17903664129389038,0.6900655593423543,0.38453946655489013,-0.4302777547057069,0.6453302192903168,0.3831236233589469,0,0
GT_BfWPcLgXY7dKcAsdX_1,59.15,62.0,BfWPcLgXY7dKcAsdX,-0.1125539380482247,0.09154399658765185,0.06226777130428953,-0.07964017542430869,0.7217116821740128,0.27028412236055915,-0.31319600099589257,0.8239790386524151,0.36151246754316074,1,0
GT_j5d27JCC2rTDBr4Yq_0,61.36842105263158,61.1578947368421,j5d27JCC2rTDBr4Yq,-0.13800093093174476,0.30231546419894856,0.29082491855716264,-0.2972909811253563,0.8478077553407812,0.4974572417139601,-0.6234893794292606,0.7722605141797169,0.3894976128150135,0,1
